;PC4;Locatienaam;Locatienaam_2;Adres;PC6;Plaats;Cap_01012015;Cap_15112015;Soort;Duur;Cap_Gem;gc;Duur tot 4/11;
53;6581;Nijmegen Heumesoord;NijmegenHeumesoord;Beukenlaan 3;6581KV;Malden;0;2952;2;46;NA;252;;
95;9502;Pagedal;Pagedal;Hoveniersweg 1;9502BW;Stadskanaal;0;538;2;57;NA;37;;
21;3881;Putten;Putten;Voorthuizerstraat 75;3881SE;Putten;0;30;2;30;NA;273;;
40;5953;Reuver;Reuver;Lommerbergen 1;5953TT;Reuver;0;30;2;30;NA;889;;
33;5248;Rosmalen;Rosmalen;Graafsebaan 133;5248NL;Rosmalen;0;498;2;70;NA;796;;
84;8371;Scheerwolde;Scheerwolde;Blokzijlseweg 8;8371VG;Scheerwolde;0;35;2;41;NA;1708;;
98;9615;Slochteren;Slochteren;A. Einsteinlaan 3;9615TE;Kolham;0;144;2;6;NA;40;;
28;5013;Tilburg;Tilburg1;Ringbaan-Noord 7;5013EA;Tilburg;0;225;2;32;NA;855;;
50;6291;Vaals;Vaals;Randweg  21;6291DC;Vaals;0;30;2;30;NA;981;;
81;8076;Vierhouten;Vierhouten1;t Frusselt 30;8076RE;Vierhouten;0;60;2;54;NA;302;;
41;6006;Weert;Weert;Kazernelaan 101;6006SP;Weert;0;999;2;63;NA;988;;
61;7103;Winterswijk;Winterswijk1;Amstelstraat 9;7103JP;Winterswijk;500;501;2;NA;NA;294;;
5;1502;Zaandam;Zaandam;Heijemansstraat 127;1502DJ;Zaandam;0;877;2;48;NA;479;;
19;3707;Zeist;ZeistKamp;Kampweg 122;3707JX;Zeist;364;490;2;NA;NA;355;;
79;8011;Zwolle;Zwolle;Rieteweg 4;8011AB;Zwolle;0;400;2;120;NA;193;;
9;1816;Alkmaar;Alkmaar;Picassolaan 9;1816MD;Alkmaar;507;500;1;NA;NA;361;;
70;7602;Almelo;Almelo;Vriezenveenseweg 170a;7602PV;Almelo;394;336;1;NA;NA;141;;
4;1318;Almere;Almere;Engelse mijl 6;1318EN;Almere;809;823;1;NA;NA;34;;
20;3819;Amersfoort;Amersfoort1;Barchman Wuytierslaan 53;3819AB;Amersfoort;301;293;1;NA;NA;307;;
57;6835;Arnhem-Vreeden;ArnhemVreeden;Groningensingel 1225;6835HZ;Arnhem;329;329;1;NA;NA;202;;
71;7621;Azelo;Azelo;Bornerbroeksestraat 103;7621AE;Borne;300;340;1;NA;NA;147;;
44;6095;Beexen;Beexen;Exaeten 1;6095PD;Baexem;355;525;1;NA;NA;1640;;
100;9695;Bellingwolde 'De Grenshof';Bellingwolde;Hoofdweg 261;9695AH;Bellingwolde;330;344;1;NA;NA;7;;
10;1865;Bergen aan Zee;BergenaanZee;Parkweg 12;1865AJ;Bergen Aan Zee;100;100;1;NA;NA;373;;
27;4811;Breda;Breda1;Nassausingel 26;4811DG;Breda;345;400;1;NA;NA;758;;
42;6021;Budel;Budel;Randweg-Oost 32;6021PB;Budel;1500;1430;1;NA;NA;1706;;
43;6024;Budel-Dorplein;BudelDorplein;Hoofdstraat 80;6024AA;Budel-Dorplein;219;235;1;NA;NA;1706;;
91;9251;Burgum;Burgum;Elingsloane 63;9251MN;Burgum;480;480;1;NA;NA;737;;
103;9932;Delfzijl;Delfzijl;Zwet 40;9932AB;Delfzijl;570;452;1;NA;NA;10;;
8;1784;Den Helder Droggershoek;DenHelderDroggershoek;Burg Ritmeesterweg 20;1784NV;Den Helder;0;560;1;83;NA;400;;
7;1782;Den Helder Maaskamp;DenHelderMaaskamp;Nieuweweg 3;1782AZ;Den Helder;590;640;1;NA;NA;400;;
60;7009;Doetinchem;Doetinchem1;Hogenslagweg 8;7009CD;Doetinchem;350;576;1;NA;NA;222;;
90;9207;Drachten;Drachten;Noorderend 2;9207AL;Drachten;469;344;1;NA;NA;90;;
82;8251;Dronten;Dronten;Vossemeerdijk 40;8251PN;Dronten;1168;1365;1;NA;NA;303;;
13;2242;Duinrell;Duinrell;Duinrell 1;2242JP;Wassenaar;627;750;1;NA;NA;629;;
45;6102;Echt;Echt;Pepinusbrug 2;6102RJ;Echt;408;412;1;NA;NA;1711;;
36;5629;Eindhoven;Eindhoven;Castillielaan 15;5629CH;Eindhoven;630;700;1;NA;NA;772;;
74;7814;Emmen;Emmen;Wilhelmsweg 85;7814VG;Emmen;515;647;1;NA;NA;114;;
78;7985;Geeuwenbrug;Geeuwenbrug;De Eikenhorst 5;7985NP;Geeuwenbrug;87;124;1;NA;NA;1701;;
32;5126;Gilze en Rijen;GilzeenRijen;Prinsenbosch 2;5126ND;Gilze;890;1192;1;NA;NA;784;;
26;4462;Goes;Goes;Albert Plesmanweg 23;4462GC;Goes;302;302;1;NA;NA;664;;
34;5363;Grave;Grave;Generaal de Bonsweg 1;5363ST;Velp Nb;556;672;1;NA;NA;786;;
49;6271;Gulpen Landsrade;GulpenLandsrade;Landsrade 9;6271NZ;Gulpen;200;250;1;NA;NA;1729;;
